Arrival Delay (Minutes),destinationstate_0,destinationstate_1,destinationstate_2,destinationlatitude,destinationlongitude,originstate_0,originstate_1,originstate_2,originstate_3,originstate_4,originstate_5,originstate_6,originlatitude,originlongitude,Month,Day,Scheduled Arrival Hour,Scheduled Arrival Minute,Weekdaynum,xs,ys,Month_sin,Month_cos,Day_sin,Day_cos,Weekdaynum_sin,Weekdaynum_cos,HS_Dist,Delayed?,Carrier Code_AA,Carrier Code_DL,Carrier Code_OO,Carrier Code_UA,Carrier Code_WN,Destination Airport_ATL,Destination Airport_DFW,Destination Airport_LAX,Destination Airport_ORD
-8,0,0,1,33.64044,-84.42694,0,0,0,0,0,1,0,32.89595,-97.0372,1,1,23,59,0,-0.004363309,0.999990481,0.5,0.866025404,0.20129852,0.979529941,0,1,1174,0,1,0,0,0,0,1,0,0,0
-8,0,0,1,33.64044,-84.42694,0,0,0,0,1,1,0,41.9796,-87.90446,1,1,22,2,0,-0.49242356,0.870355696,0.5,0.866025404,0.20129852,0.979529941,0,1,976,0,1,0,0,0,0,1,0,0,0
-4,0,0,1,33.64044,-84.42694,0,0,0,0,0,0,1,35.21401,-80.94313,1,2,10,57,1,0.27144045,-0.962455236,0.5,0.866025404,0.394355855,0.918957812,0.866025404,0.5,364,0,1,0,0,0,0,1,0,0,0
29,0,0,1,33.64044,-84.42694,0,0,0,0,0,1,1,33.43417,-112.00806,1,2,18,48,1,-0.978147601,0.207911691,0.5,0.866025404,0.394355855,0.918957812,0.866025404,0.5,2548,1,1,0,0,0,0,1,0,0,0
12,0,0,1,33.64044,-84.42694,0,0,0,0,0,1,1,33.43417,-112.00806,1,2,6,5,1,0.999762027,-0.021814885,0.5,0.866025404,0.394355855,0.918957812,0.866025404,0.5,2548,1,1,0,0,0,0,1,0,0,0
-8,0,0,1,33.64044,-84.42694,0,0,0,0,1,0,1,33.94254,-118.40807,1,2,7,4,1,0.961261696,-0.275637356,0.5,0.866025404,0.394355855,0.918957812,0.866025404,0.5,0,0,1,0,0,0,0,1,0,0,0
-9,0,0,1,33.64044,-84.42694,0,0,0,0,0,1,0,32.89595,-97.0372,1,2,9,3,1,0.69779046,-0.716301943,0.5,0.866025404,0.394355855,0.918957812,0.866025404,0.5,0,0,1,0,0,0,0,1,0,0,0
32,0,0,1,33.64044,-84.42694,0,0,0,0,1,0,1,33.94254,-118.40807,1,2,14,23,1,-0.584249666,-0.811573982,0.5,0.866025404,0.394355855,0.918957812,0.866025404,0.5,0,1,1,0,0,0,0,1,0,0,0
-4,0,0,1,33.64044,-84.42694,0,0,0,0,1,1,0,41.9796,-87.90446,1,2,11,40,1,0.087155743,-0.996194698,0.5,0.866025404,0.394355855,0.918957812,0.866025404,0.5,0,0,1,0,0,0,0,1,0,0,0
2,0,0,1,33.64044,-84.42694,0,0,0,0,0,1,0,32.89595,-97.0372,1,2,13,27,1,-0.370557438,-0.928809553,0.5,0.866025404,0.394355855,0.918957812,0.866025404,0.5,0,1,1,0,0,0,0,1,0,0,0
-16,0,0,1,33.64044,-84.42694,0,0,0,0,0,1,0,32.89595,-97.0372,1,2,3,9,1,0.734322509,0.678800746,0.5,0.866025404,0.394355855,0.918957812,0.866025404,0.5,0,0,1,0,0,0,0,1,0,0,0
-15,0,0,1,33.64044,-84.42694,0,0,0,0,0,1,1,33.43417,-112.00806,1,2,15,14,1,-0.748955721,-0.662620048,0.5,0.866025404,0.394355855,0.918957812,0.866025404,0.5,0,0,1,0,0,0,0,1,0,0,0
10,0,0,1,33.64044,-84.42694,0,0,0,0,1,1,1,40.77724,-73.87261,1,2,16,34,1,-0.930417568,-0.366501227,0.5,0.866025404,0.394355855,0.918957812,0.866025404,0.5,0,1,1,0,0,0,0,1,0,0,0
-2,0,0,1,33.64044,-84.42694,0,0,0,0,1,1,1,40.77724,-73.87261,1,2,22,58,1,-0.267238376,0.963630453,0.5,0.866025404,0.394355855,0.918957812,0.866025404,0.5,0,0,1,0,0,0,0,1,0,0,0
-20,0,0,1,33.64044,-84.42694,0,0,0,0,0,0,1,35.21401,-80.94313,1,2,14,44,1,-0.656059029,-0.75470958,0.5,0.866025404,0.394355855,0.918957812,0.866025404,0.5,0,0,1,0,0,0,0,1,0,0,0
-25,0,0,1,33.64044,-84.42694,0,0,0,1,0,0,0,39.87195,-75.24114,1,2,20,37,1,-0.774392644,0.632705329,0.5,0.866025404,0.394355855,0.918957812,0.866025404,0.5,0,0,1,0,0,0,0,1,0,0,0
-19,0,0,1,33.64044,-84.42694,0,0,0,0,0,0,1,35.21401,-80.94313,1,2,1,37,1,0.410718853,0.911762044,0.5,0.866025404,0.394355855,0.918957812,0.866025404,0.5,0,0,1,0,0,0,0,1,0,0,0
6,0,0,1,33.64044,-84.42694,0,0,0,0,0,0,1,35.21401,-80.94313,1,2,23,59,1,-0.004363309,0.999990481,0.5,0.866025404,0.394355855,0.918957812,0.866025404,0.5,0,1,1,0,0,0,0,1,0,0,0
-12,0,0,1,33.64044,-84.42694,0,0,0,1,0,0,0,39.87195,-75.24114,1,2,12,42,1,-0.182235525,-0.983254908,0.5,0.866025404,0.394355855,0.918957812,0.866025404,0.5,0,0,1,0,0,0,0,1,0,0,0
-16,0,0,1,33.64044,-84.42694,0,0,0,1,0,0,0,39.87195,-75.24114,1,2,10,34,1,0.366501227,-0.930417568,0.5,0.866025404,0.394355855,0.918957812,0.866025404,0.5,0,0,1,0,0,0,0,1,0,0,0
11,0,0,1,33.64044,-84.42694,0,0,0,1,0,0,0,39.87195,-75.24114,1,2,17,48,1,-0.998629535,-0.052335956,0.5,0.866025404,0.394355855,0.918957812,0.866025404,0.5,0,1,1,0,0,0,0,1,0,0,0
-17,0,0,1,33.64044,-84.42694,0,0,0,1,0,0,0,39.87195,-75.24114,1,2,15,8,1,-0.731353702,-0.68199836,0.5,0.866025404,0.394355855,0.918957812,0.866025404,0.5,0,0,1,0,0,0,0,1,0,0,0
